continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
1,3,1,0,11648,1946,4,104454.25,3,0,0
1,0,0,0,2380,1852,4,103366.25,3,1,1
2,1,1,0,802,1900,2,1445.56,3,1,0
1,0,1,0,97234,1965,2,91852.42,3,1,1
1,3,1,0,776,2006,4,147561.92,3,1,0
1,0,1,0,481,1987,3,68345.24,3,1,1
1,0,1,0,7261,1998,4,92980.81,3,1,1
1,2,1,0,784,1973,2,118945.27,3,1,1
1,0,1,0,309,2006,3,20891.87,3,1,0
1,3,0,0,1528,1890,2,140198.62,3,0,0
1,2,1,0,1647,2010,4,32050.21,3,1,1
1,2,1,0,680,1848,1,146548.12,3,1,1
1,1,0,1,3782,1999,2,83273.78,3,1,0
1,3,1,0,2386,2008,2,418.8264,0,1,0
1,0,0,0,4433,1989,4,142917.12,3,0,1
1,0,0,0,3164,1994,2,101.22,0,1,1
1,3,1,0,3193,2012,3,116383.1,3,1,0
2,2,0,1,365,1975,3,49432.45,3,1,1
1,2,1,1,3724,1977,1,29480.3,3,1,1
1,1,0,0,2345,2009,4,91818.62,3,1,0
3,0,1,0,138,1989,2,60487.54,3,1,1
1,3,0,0,4930,1852,3,123157.63,3,1,0
2,1,1,0,3806,1999,4,238109.72,3,1,0
1,1,1,0,1391,1959,4,65761.62,3,1,0
1,3,0,0,365,1988,2,21385.24,3,1,0
1,2,1,0,2336,2001,3,56044.96,3,1,1
1,3,0,0,1370,2001,3,89918.47,2,1,0
1,0,1,0,120097,1912,1,128376.17,3,1,1
1,0,1,0,1615,1999,3,99812.43,3,1,1
4,3,0,0,2509,1928,2,396.9152,0,1,1
1,3,1,0,772,1874,4,16479.71,3,1,0
3,0,0,0,1361,2004,3,92231.75,3,1,0
1,3,0,0,4137,1869,4,95645.29,3,1,0
1,2,0,0,1025,2000,2,78103.74,3,1,1
1,3,1,0,2021,1932,1,147419.9,3,1,0
1,0,1,0,482,2005,2,55136.54,3,0,0
1,3,1,0,2304,2007,3,151277.04,3,1,0
1,0,0,0,1474,1996,4,102595.24,3,1,0
1,3,1,0,552,1985,1,167014.38,3,1,0
1,0,1,0,1596,2005,3,48569.51,3,1,0
1,1,0,0,2079,1969,1,83097.42,3,1,0
2,1,0,1,1860,2006,1,46073.04,3,1,0
1,3,1,0,3971,2007,2,62707.52,3,1,0
5,3,0,1,1635,1838,2,91080.42,3,1,0
1,3,0,0,3279,1992,1,84584.46,3,1,0
3,0,1,0,3973,2004,3,48229.29,3,1,0
1,3,1,0,525,1975,2,97561.97,3,1,0
1,3,1,0,4398,1864,2,12.2234,0,1,0
1,3,1,0,29560,1968,2,69009.97,3,1,0
1,2,0,0,488,1999,1,95060.42,3,1,1
5,2,0,0,50240,1985,2,604.0816,0,1,0
1,3,0,0,4829,2005,3,22397.69,3,1,0
3,3,1,0,1711,1994,3,142302.47,3,1,0
1,3,0,0,2423,1996,2,41411.19,3,1,0
1,3,1,0,926,1997,1,136085.67,3,1,0
1,3,1,0,552,1995,1,119266.22,3,1,0
1,0,0,1,16748,1980,4,281418.03,3,1,0
1,3,0,0,1693,1970,4,239151.61,3,0,0
2,1,0,0,2444,2014,3,60585.63,3,1,0
1,3,1,0,3101,2002,1,208822.63,3,1,0
1,0,0,0,1585,1993,2,37305.39,3,1,1
3,0,1,0,1894,1991,2,51044.98,3,0,0
1,2,0,0,1659,2008,1,53965.32,3,1,1
2,2,0,0,1598,1902,2,137.15,0,1,1
2,2,0,0,3527,1984,3,45050.36,3,1,1
1,3,0,0,3490,1994,4,45240.76,3,1,0
4,0,0,0,2004,2014,1,33917.08,3,1,1
2,0,1,0,424,1996,3,32485.12,3,1,0
1,0,1,0,2729,1990,3,113828.03,3,1,1
1,3,0,0,2294,1984,3,87618.43,3,1,0
1,0,0,0,2709,2013,4,35886.75,3,1,1
1,1,1,0,1008,1963,4,69750.74,3,1,0
3,3,1,0,5505,1919,4,15615.87,3,1,0
1,2,1,0,91,1975,4,280205.27,3,1,1
1,0,0,1,19,1977,3,197291.43,3,1,1
3,3,0,0,2205,1977,2,511.4655,0,1,1
1,3,0,0,2116,1875,4,272756.53,3,0,0
1,0,0,0,137,1985,3,301.2781,0,1,1
1,3,1,0,668,1909,2,78338.82,3,1,0
1,3,1,0,1076,2009,4,63643.41,3,0,0
1,3,0,0,1318,1998,1,98755.63,3,1,0
2,3,1,0,2696,2002,4,31708.91,3,1,0
1,2,1,0,2893,1994,4,31411.56,3,1,1
1,3,0,0,2251,1907,2,69591.39,3,0,0
1,0,0,1,3462,1999,4,110110.28,3,1,0
1,0,0,0,1407,2011,1,144791.84,3,1,1
1,0,0,0,859,1890,4,111802.68,3,1,0
3,3,0,0,2655,1986,2,76214.62,3,1,0
1,0,1,0,1558,1977,4,93895.48,3,1,1
1,0,1,0,1391,2007,1,115137.67,3,1,0
5,0,1,0,461,1968,3,187.0879,0,1,1
1,3,0,1,1177,1877,1,76548.51,3,1,0
1,3,1,0,1212,2000,3,11468.31,3,1,0
1,0,1,0,27195,1995,1,63480.82,2,1,1
2,3,0,0,4517,2010,4,75241.75,3,1,0
3,0,1,1,1444,2010,3,105507.4,3,1,1
3,0,0,0,28871,2000,3,195998.12,3,1,1
1,3,1,0,3159,2006,1,81913.56,3,1,0
2,0,1,1,1281,2010,2,82294.13,3,1,0
0,3,1,0,2409,1999,3,76838.51,3,0,0
1,0,1,0,4778,2002,3,35337.63,3,1,0
1,3,1,0,2088,2012,2,80886.4,2,1,0
5,0,0,0,282,2014,2,521.7731,0,1,1
1,1,0,1,1086,2009,2,130175.47,3,1,0
1,0,0,0,4478,1997,2,49071.8,3,1,1
1,0,1,0,224,2012,3,39700.39,3,1,1
5,0,0,0,2093,2009,3,419.7764,0,1,1
3,3,1,0,740,1993,1,14036.3,3,1,0
1,2,0,0,1965,1800,4,80599.04,3,1,1
3,0,0,0,3445,2009,2,451.5117,0,1,0
2,0,0,0,2323,1917,1,2118.48,3,1,0
3,1,1,0,3863,1997,3,154549.47,3,1,0
0,3,0,0,1558,1973,3,73091.32,3,1,1
1,3,0,0,1219,2003,4,154695.04,3,0,0
3,3,1,0,16378,1954,4,80471.0,3,1,0
1,0,0,0,1207,1980,4,33469.03,3,1,1
2,3,1,0,32057,1985,4,20675.18,3,1,0
1,0,0,0,775,1979,3,283.5202,0,1,1
1,0,0,0,628,2004,2,113465.31,3,1,0
1,2,1,0,2530,2000,3,46968.89,3,1,1
1,0,1,1,1595,1979,3,87424.07,3,1,1
1,2,1,0,993,2013,3,105445.2,3,1,1
5,3,0,0,932,1981,2,85677.02,3,1,0
1,0,1,0,4970,2006,4,49416.71,3,1,0
3,0,1,0,4234,2007,4,4399.44,3,1,0
1,3,1,0,2271,2003,4,46492.56,3,0,0
5,2,1,0,1652,1982,3,46197.3,3,1,0
1,0,1,0,884,1987,1,284.0018,0,1,1
3,0,0,0,60,1977,3,434.3963,0,1,1
3,3,0,0,37413,2009,4,135347.42,3,0,0
1,2,0,0,4064,2014,1,203266.74,3,1,1
1,0,1,0,670,1911,4,114.12,0,1,1
0,2,0,1,571,1946,2,133774.72,3,1,1
1,3,1,0,4481,1997,4,141246.08,3,1,0
2,0,0,1,1872,1865,3,75195.5,3,1,1
1,3,0,1,15205,2000,4,103394.94,3,1,0
2,1,1,0,2320,1988,3,31855.55,3,1,0
1,0,1,1,1371,1999,4,125422.28,3,1,0
1,1,1,0,5939,1999,2,48041.54,3,1,0
1,0,0,0,1463,1964,3,73495.67,3,1,1
2,0,0,0,755,2004,4,57749.9,3,1,0
3,0,0,0,4228,2012,2,73976.48,3,1,1
2,2,1,1,2197,2012,4,3492.16,3,1,1
1,3,1,0,5106,2001,3,53144.96,3,1,0
4,3,1,0,3156,2005,4,90795.28,3,1,1
1,0,0,0,86,1884,4,30859.56,3,1,1
2,0,1,0,3115,2010,3,56285.72,3,1,0
1,1,0,0,4370,2009,1,93561.21,3,1,0
1,2,0,0,2096,1908,2,47868.62,3,1,1
1,0,0,0,698,2002,0,74022.99,3,1,1
1,3,1,0,1030,1987,3,17826.38,3,1,0
3,3,1,0,15190,1940,3,67120.04,3,1,0
1,3,0,0,4448,2008,2,24625.48,3,1,0
1,3,1,0,1429,1995,3,68106.14,3,1,0
1,0,0,1,88,1983,3,80315.91,3,1,0
1,0,1,0,1794,1913,4,111430.22,3,0,1
1,3,1,0,3933,2001,2,81617.57,2,1,0
1,0,0,0,414,2000,4,298520.02,3,1,0
1,3,1,0,992,1971,1,112981.74,3,1,0
2,0,1,0,1529,1988,1,104953.68,3,1,0
1,1,0,0,23197,1987,4,118628.2,3,0,0
1,1,0,0,4375,2006,4,95530.67,3,1,0
1,3,0,0,206,1965,3,2815.88,3,1,0
1,0,1,0,1801,1866,4,128044.08,3,1,0
2,1,1,0,3493,2008,2,58420.88,3,1,0
1,1,0,0,2448,2009,2,63992.87,3,1,0
2,2,0,1,379,2005,3,167544.38,3,1,1
1,0,0,0,229,2005,2,439.0866,0,1,1
1,3,1,0,1869,1990,4,102972.01,3,1,0
1,2,0,0,2315,2010,4,743.7198,0,1,1
1,3,1,0,2588,2008,2,49520.41,3,1,0
1,3,1,0,2780,1999,2,476.7579,0,1,0
2,0,1,0,3237,1817,3,59869.04,3,1,0
1,3,1,0,848,2006,3,73021.59,3,1,0
1,0,1,0,2965,2011,4,68619.16,3,1,0
1,0,1,0,4264,2011,1,13858.11,3,1,0
1,0,1,0,951,2006,3,19230.96,3,1,0
1,0,0,1,241,2012,4,45991.89,3,1,1
5,1,1,1,2407,2005,3,45798.75,3,1,0
0,3,1,0,99863,1992,2,5501.55,3,1,0
1,2,0,1,95,2011,4,38382.91,3,1,1
1,0,0,0,1471,2006,1,138850.99,3,1,0
1,2,1,0,715,2011,3,106097.4,3,1,1
1,0,0,1,62,2010,3,96916.95,3,1,0
1,2,0,0,547,1928,1,318.6505,0,1,1
3,0,0,0,3178,1999,2,129798.65,3,1,1
1,3,0,0,163,1998,4,70097.53,3,1,0
3,3,0,0,1282,2008,4,117135.28,3,0,0
1,3,1,0,1903,1976,2,75127.44,3,1,0
1,2,0,0,1535,1809,2,69594.35,3,1,1
1,0,1,0,875,1995,4,122993.83,3,1,1
1,0,0,0,239,2004,1,65589.67,3,1,0
1,1,1,0,4107,2007,4,16671.65,3,1,0
3,0,0,0,2649,1963,2,28541.29,3,1,0
1,0,1,0,1368,1909,3,125574.83,3,1,0
1,3,0,0,1303,2004,1,242018.37,3,1,0
1,0,0,1,946,1979,4,150999.33,3,1,0
1,0,0,0,2322,2011,4,37858.43,3,1,0
1,2,1,0,6466,1876,3,123258.12,3,1,1
1,0,0,0,1269,1892,2,115494.19,3,1,1
3,3,0,0,3095,1994,2,120026.84,3,1,1
2,0,0,0,1095,2010,4,144469.47,3,1,0
1,1,1,0,3379,2004,2,45874.05,3,1,0
1,0,1,0,3646,1998,3,12970.99,3,1,0
1,3,1,0,1564,1957,4,3532.65,3,1,0
3,1,1,0,3469,1970,3,80093.71,3,1,0
1,0,0,0,74,1976,4,59782.98,3,1,1
1,0,0,0,3903,1988,3,115400.82,3,1,0
1,0,1,1,2698,1998,4,65242.29,3,1,0
1,0,1,0,2717,1998,4,338.5595,0,1,1
2,1,0,0,4761,1898,1,123856.7,3,1,0
1,2,1,0,4547,2011,3,56816.86,3,1,1
1,0,0,1,636,2011,3,134138.72,3,1,0
3,3,1,0,4516,1995,2,86324.12,3,1,0
1,2,0,0,1104,1960,4,769.4869,0,1,1
3,0,0,0,3995,1968,0,86652.35,3,0,1
1,0,0,0,3995,2002,2,65416.47,3,1,0
3,0,1,0,134,1989,4,105757.56,3,1,0
3,3,1,0,1999,2009,3,136.77,0,1,1
5,3,1,0,2972,1892,2,156554.29,3,1,0
1,3,1,0,1571,2001,3,165056.07,3,0,0
1,0,0,0,67550,1971,1,77096.9,3,1,1
3,0,1,0,3831,1976,2,67930.73,1,1,0
1,2,1,0,1794,1999,2,140411.93,3,1,1
1,2,1,0,2143,1889,1,38503.62,3,1,1
1,3,1,0,3120,2001,4,16891.35,3,1,0
1,3,0,0,14789,2008,1,250436.94,3,1,0
2,1,1,0,133,1809,0,61132.37,3,1,0
1,0,0,0,3491,1856,2,85534.43,3,1,0
1,3,1,0,3448,2002,2,17498.45,3,1,0
1,3,0,0,2006,2004,3,4834.25,3,1,0
1,0,0,0,352,1957,1,391.8694,0,1,1
1,3,0,0,1229,1994,4,112505.46,3,1,0
1,2,0,0,1636,1991,3,150093.09,3,1,1
1,3,0,0,4135,2009,2,14276.19,3,1,0
3,2,0,0,2644,1990,3,97827.77,3,1,0
0,3,0,0,2149,1992,4,24247.4,3,1,0
1,2,1,0,4242,1991,3,113108.16,3,1,1
1,1,1,0,4872,1989,4,121812.24,3,0,0
1,3,1,0,1589,1972,2,80671.3,3,1,0
1,0,1,0,1127,2001,1,2728.1,3,0,1
1,3,1,0,4492,1994,1,91084.09,3,1,0
3,3,1,0,768,1872,2,110134.18,3,1,0
1,2,0,0,14010,1994,1,148147.48,3,1,1
1,3,0,0,1221,2008,3,154145.97,3,0,0
3,0,0,0,2175,1986,3,149197.43,3,0,1
3,2,1,0,685,1883,4,93690.16,3,1,0
1,0,1,0,16733,2007,1,78888.5,3,1,0
3,3,1,1,686,1981,2,31292.32,3,1,0
1,0,1,0,1917,2008,2,63824.11,3,1,0
1,2,1,1,1777,2000,3,127500.61,3,1,1
1,3,1,0,599,2013,2,254275.73,3,1,0
2,0,1,0,1555,2014,2,47647.41,3,1,0
1,0,0,0,3083,2013,4,215234.01,3,1,0
1,2,1,0,1589,2014,1,120493.98,3,1,1
1,0,1,0,919,1998,2,115032.02,3,1,0
1,0,1,0,175,2008,3,121516.35,3,1,0
1,0,0,0,3291,1998,3,198517.74,3,1,1
2,3,1,0,281,1995,4,76688.04,3,1,0
1,0,0,0,4029,1911,4,61954.09,3,1,0
1,2,1,1,3611,2011,3,48036.95,3,1,1
5,1,1,0,3241,2012,4,14362.91,3,1,0
1,0,1,0,902,2012,2,74349.52,3,1,0
2,2,1,0,4392,1991,4,88650.62,3,1,1
1,3,0,1,5082,1977,3,127271.51,3,1,0
1,3,1,0,815,2011,3,3232.72,3,1,0
1,0,0,0,-14,2013,3,103.97,0,1,1
2,1,1,0,3969,2004,1,69732.24,3,1,0
1,3,1,0,1317,2007,1,48440.56,3,1,0
3,3,1,0,2983,2003,4,22256.25,3,1,0
1,3,0,0,2726,1969,4,113.6,0,1,0
1,0,0,0,4312,2006,4,108182.8,2,1,1
3,2,1,0,3676,1915,3,717.5354,0,1,0
1,0,1,0,3248,1818,3,212219.53,3,1,0
1,2,1,0,1189,1996,0,69191.57,3,1,1
1,2,1,0,2998,1922,2,106705.86,3,1,1
3,3,1,1,1522,1979,2,107990.69,3,1,0
3,2,0,0,2383,2011,1,56263.37,3,1,0
2,1,0,0,3635,1990,4,37019.67,3,1,0
1,1,0,0,1157,2000,3,68324.71,3,1,0
1,0,0,0,1646,2001,3,27439.63,3,1,0
3,2,1,1,1697,1980,2,101072.12,3,1,0
1,0,1,0,49,1992,3,28006.81,3,1,1
1,0,0,0,3368,1994,2,63481.31,3,1,0
3,3,1,0,52028,1871,2,61885.33,3,1,1
1,2,1,0,5141,2002,3,34379.24,3,1,1
1,0,1,1,1596,2011,4,59814.93,3,1,0
1,3,0,0,1508,2001,3,61384.05,3,1,0
2,0,1,0,1537,2005,2,116210.89,3,1,0
2,1,0,0,1040,1968,2,63826.35,3,1,0
1,1,1,0,2806,1975,1,81684.69,3,1,0
1,0,0,0,3461,2005,3,158552.72,3,1,0
2,1,1,0,4805,1996,4,16991.99,3,1,0
1,3,0,0,324,1902,2,254230.21,3,0,0
1,3,1,0,738,1932,3,36976.34,3,1,0
1,0,1,0,1103,2007,2,119471.76,3,1,1
1,0,0,0,3645,1998,4,52082.45,3,1,1
1,0,0,0,2496,1991,2,64696.03,3,1,1
1,0,0,0,3453,1971,1,93375.5,3,1,1
1,2,1,0,2394,1960,3,146.48,0,1,1
1,2,1,0,2022,1999,2,108362.96,3,1,1
1,0,0,0,4251,2011,2,29716.12,3,1,0
3,3,1,1,1602,1940,2,817.62,3,1,0
3,0,1,0,294,1995,4,39729.33,3,1,1
1,0,0,1,1957,1986,2,60095.22,3,1,1
1,2,1,0,727,1999,4,56122.45,3,1,1
1,2,1,0,987,2010,1,51592.16,3,1,1
1,3,1,0,6475,1998,4,31540.27,3,1,0
1,1,1,0,3715,1956,3,15082.76,3,1,0
1,3,1,0,2559,2001,0,81172.14,3,1,0
3,2,1,0,4771,1999,2,112270.04,3,0,0
1,0,1,0,3481,1979,3,99957.16,3,1,1
1,0,1,0,2418,1942,1,181611.3,3,1,1
2,3,0,0,5877,2004,2,29735.19,3,1,0
1,0,1,0,1885,1986,2,89993.85,3,1,0
3,3,1,0,248,1994,2,233.9425,0,1,1
2,0,0,0,2725,2008,2,130645.36,3,1,0
1,3,1,0,3044,2001,3,94491.86,3,1,0
5,3,1,1,1773,1916,2,102049.15,3,1,0
1,0,1,0,19660,2005,2,72422.66,3,1,0
1,0,1,0,2871,2009,3,87073.72,3,1,0
2,3,0,0,1257,1976,2,58438.95,3,1,0
1,3,0,0,2930,2003,2,66058.4,3,0,0
1,0,0,0,4333,1981,1,129541.91,3,1,0
1,0,0,0,128,2000,3,61396.5,3,1,0
1,3,0,1,910,2002,4,14055.15,3,1,0
2,0,1,0,3447,2005,3,12128.09,3,1,1
3,3,1,0,4921,1987,2,154224.71,3,1,0
1,3,1,1,198,1986,3,459.7524,0,1,0
1,3,1,0,4072,2001,3,133807.63,3,1,0
1,3,0,0,2398,1908,1,73577.64,3,1,0
1,3,0,0,148,2008,2,213069.27,3,1,0
2,3,1,0,4013,1952,2,26277.06,3,1,0
1,1,0,0,2300,1997,1,36226.59,3,1,0
1,3,1,0,6661,2003,2,50998.71,3,1,0
1,3,1,1,1364,2002,4,36791.49,3,1,0
3,3,1,0,968,2009,4,95290.58,3,1,1
3,3,0,0,922,1987,1,309.606,0,1,1
1,3,0,0,239,2001,2,698.944,0,1,0
1,0,0,0,1263,1994,4,77256.41,3,1,1
2,3,1,0,6107,1979,3,7478.77,3,1,0
2,0,1,0,8577,1977,4,11166.9,3,1,0
1,3,1,0,2666,2007,3,96115.91,3,0,0
3,2,1,0,4347,1994,2,70913.99,2,1,0
1,2,1,0,6188,2006,1,97570.45,3,1,1
1,2,1,0,3145,1831,4,62740.98,3,1,1
1,0,1,0,4314,2011,2,134045.03,3,0,0
2,0,0,1,68236,1998,4,59185.76,3,1,0
1,2,1,0,3986,1905,1,18111.76,3,1,1
5,0,1,0,225,2011,3,93549.36,3,1,0
1,0,1,0,3671,1998,3,71406.26,3,1,1
1,0,1,0,1074,1997,2,164042.19,3,1,1
5,3,0,0,4426,2006,3,193745.68,3,0,1
1,3,1,0,355726,2001,1,134393.91,3,0,0
1,0,1,0,1461,1997,2,104510.37,3,1,0
1,3,0,0,1250,1998,2,125470.03,3,1,0
1,3,1,0,2071,1991,3,97268.82,3,1,0
1,0,1,0,4581,1998,2,61126.33,3,0,1
1,3,1,0,5534,2006,2,48584.1,3,1,0
1,3,0,1,4554,2008,4,109782.9,3,1,0
2,2,0,0,2816,2001,3,72107.49,3,1,1
1,3,0,0,1059,2011,1,113851.32,3,1,0
2,1,0,0,2559,2013,4,41483.52,3,1,0
3,0,0,1,1233,2011,3,99760.1,3,1,0
1,3,0,0,766,1977,3,246.81,0,1,0
1,3,1,1,1221,1948,4,63531.48,3,1,0
1,0,1,0,3011,2003,3,904.6097,0,1,1
3,3,1,0,5033,2004,1,56822.09,3,1,0
1,0,1,0,4625,1917,1,131826.56,3,1,0
1,0,1,0,3616,1901,4,4840.5,3,1,0
1,1,1,0,1274,2001,1,116873.37,3,1,0
1,3,1,0,1752,2004,2,57400.53,3,1,0
1,2,1,0,792,1974,1,70814.82,3,1,1
1,0,0,0,63,1976,2,91605.32,3,1,1
2,3,0,1,538,2000,2,159956.15,3,1,0
1,3,1,0,23,2010,3,63414.81,3,1,0
1,0,1,1,2436,2014,3,85781.67,3,1,0
1,2,0,0,872,2001,1,26644.41,3,1,1
1,3,1,0,1704,2009,1,132503.77,3,1,0
1,0,1,1,346,1994,3,20804.15,3,1,0
1,3,0,0,1048,1978,3,386.4868,0,1,0
1,1,1,1,2858,1864,3,112976.88,3,1,0
1,0,1,0,3008,1984,2,100.66,0,1,0
1,0,1,0,4755,2007,4,97712.19,3,1,0
1,0,0,0,925,2013,3,295.2023,0,1,1
1,0,0,0,491,1919,4,34530.19,3,1,1
1,3,0,0,1621,1975,1,192092.44,3,1,0
1,1,1,0,9054,1998,1,77648.66,3,1,0
1,3,1,0,3030,1975,3,123654.65,3,1,0
1,3,0,0,1383,2004,1,718.027,0,1,0
1,0,0,0,4065,2002,3,55541.17,3,1,1
1,0,1,0,2514,2013,4,198880.78,3,1,1
3,3,1,0,117,1996,4,69144.58,3,1,0
1,3,1,0,4758,1817,2,79144.37,3,1,0
1,0,0,1,600,1938,1,148337.16,3,1,0
2,3,0,0,1580,2004,4,56974.24,3,1,0
3,2,1,0,724,2001,2,25600.44,3,1,0
1,3,0,0,3642,2007,4,147235.76,3,1,0
1,2,1,0,2567,1911,4,46822.65,3,1,1
2,1,1,0,3020,2005,2,77088.4,3,1,0
1,0,1,0,1258,2005,4,53677.0,3,1,1
1,0,1,0,2145,2006,4,45497.73,3,1,1
3,3,0,0,1265,1998,3,645.7499,0,1,1
5,0,1,0,1238,2006,4,104154.04,3,1,0
1,0,0,0,325,2004,2,1369.56,3,1,1
1,1,1,0,2220,2012,2,41018.57,3,1,0
1,3,1,1,43,1997,4,108092.95,3,1,0
1,0,1,1,530,1997,4,86712.12,3,1,0
3,0,0,0,1425,2004,3,2373.08,3,1,0
1,2,0,0,2501,2015,4,59601.0,3,1,1
1,3,1,0,4081,2009,2,3805.16,3,1,0
1,2,0,0,1361,2001,2,137993.5,3,1,1
3,3,1,0,5172,1999,2,38916.78,3,1,0
1,0,0,0,2885,1900,3,793.4325,0,1,1
2,2,1,0,1534,1998,3,58941.04,3,1,1
1,0,0,0,1377,1970,3,136647.15,3,0,0
1,3,1,0,517,2005,2,122935.37,3,0,0
2,0,0,1,780,1944,2,58230.32,3,1,0
1,3,1,0,2891,2009,3,73010.75,3,1,0
2,3,0,0,5374,2000,2,61046.15,3,1,0
1,3,0,0,2869,1997,1,80778.53,3,1,0
2,3,1,0,3623,1984,2,25189.99,3,1,0
2,1,1,0,2675,1966,2,37890.59,3,1,0
0,3,0,0,4649,2004,2,125357.27,3,1,0
1,3,1,1,1458,2000,2,112346.11,3,1,0
1,3,1,0,185,1979,3,85984.82,3,1,0
1,3,1,0,2385,1982,2,201238.34,3,1,0
1,0,1,0,443,2000,3,6391.49,3,1,1
1,0,1,0,3672,1946,2,111692.21,3,1,0
5,3,1,0,3788,1984,4,50166.77,3,1,1
1,0,1,0,4417,1998,3,29836.17,3,1,1
1,3,0,0,183,1993,3,52627.63,3,1,0
1,0,1,0,156,1992,3,89470.3,3,1,0
0,3,0,0,2312,2001,1,165736.8,3,1,0
3,0,1,0,491,1998,4,45762.95,3,1,1
5,2,1,0,2265,1998,4,49596.01,3,1,0
1,3,0,0,3945,1994,2,193901.32,3,1,0
1,0,1,1,1498,1843,2,237715.74,3,1,0
5,0,0,1,749,1985,1,97435.0,3,1,1
1,0,0,1,3704,1950,1,53291.37,3,1,0
1,0,1,0,1731,2014,2,66130.57,3,0,0
5,2,1,0,1304,1990,4,147.7032,0,1,0
3,0,1,0,256392,1983,3,71990.12,3,1,1
2,0,0,1,3884,2009,1,68035.47,3,1,0
1,0,1,0,4686,1946,3,66975.89,3,0,0
1,0,0,0,862,1995,2,301.0897,0,1,0
1,2,0,1,4434,2007,1,110752.39,3,1,1
1,2,1,0,5226,2012,2,99019.21,3,1,1
1,3,1,0,2131,1984,1,99513.35,3,0,0
5,3,1,0,2306,2007,4,40025.55,3,1,1
1,0,0,0,1009,1838,4,889.7335,0,1,1
1,3,1,0,2547,1999,2,123620.16,3,1,0
2,1,1,0,3348,1804,3,38311.9,3,1,0
1,3,1,0,1340,1997,3,90391.64,3,1,0
1,0,1,0,1618,1989,3,17106.77,3,1,1
1,3,1,0,2514,1979,2,91644.5,3,1,0
3,2,1,0,683,2010,4,38437.85,3,1,0
2,0,0,0,845,1947,3,111969.23,3,1,0
1,3,1,0,4706,2002,4,20633.3,3,1,0
1,3,1,0,5100,1977,0,161837.84,3,1,0
1,3,0,0,837,1857,0,110210.49,3,1,0
1,0,1,0,-26,1923,4,5247.32,3,1,1
1,3,1,0,2069,2001,1,152391.7,3,0,0
2,3,0,1,1190,1801,3,150007.14,3,1,1
3,2,0,0,3283,1999,3,179.6437,0,1,0
1,0,1,0,1319,1845,2,73205.5,3,1,1
1,0,0,0,2738,1994,2,34883.95,3,1,0
1,3,0,0,1418,1998,2,188.6818,0,1,0
1,0,0,0,1434,1979,2,76878.2,3,1,1
1,3,0,0,3157,2008,4,18039.9,3,1,0
2,2,0,0,4236,2013,3,68392.75,3,1,1
1,2,0,0,421,1996,1,95882.21,3,1,1
3,1,0,1,501,1993,2,70308.53,3,1,0
0,2,1,0,2205,2006,1,46590.87,3,1,1
1,0,0,1,3590,1904,4,57356.06,3,1,1
2,2,1,0,3778,1969,3,11175.94,3,1,1
2,2,1,0,4696,1979,3,158709.54,3,0,1
1,0,1,0,1307,2007,3,579.2598,0,1,1
1,2,1,1,2704,2005,3,25365.24,3,1,1
1,3,1,0,2624,2013,2,43628.17,3,1,0
1,2,1,0,125,1998,1,9063.57,3,1,1
3,0,1,0,5400,2000,2,61983.76,3,1,1
2,3,1,0,3911,1995,4,31843.03,3,1,0
1,0,1,0,466,1998,3,23799.68,3,1,1
2,1,0,1,6122,1947,4,18254.82,3,1,0
1,3,1,0,940,2005,1,99705.42,3,1,0
1,3,1,0,1915,2009,2,93604.2,3,0,0
5,2,0,0,5398,2004,3,12338.34,3,1,0
1,0,1,0,4818,1984,2,208640.93,3,1,0
2,2,0,1,3275,2006,4,73380.75,3,1,1
1,2,1,0,4365,1998,0,177452.64,3,1,1
3,3,1,0,4196,1934,4,15417.4,3,1,1
1,2,0,0,107,1994,1,111268.51,3,1,1
1,0,1,0,4089,2009,4,34632.74,3,1,0
1,0,1,0,2692,1992,3,135251.97,3,1,0
1,0,0,0,3929,2005,4,57924.59,3,1,0
1,0,0,1,4994,1998,1,57923.73,3,1,0
2,3,1,0,4020,1993,4,85611.8,3,1,0
3,3,1,0,11088,1993,2,92669.02,3,0,1
1,2,1,0,2026,2013,1,132480.35,3,1,1
3,0,1,1,4558,2005,3,112821.3,3,1,0
3,0,0,0,1458,1996,3,676.2335,0,1,1
1,0,1,0,1198,1977,3,92156.82,3,1,0
1,3,1,0,4494,1998,4,158975.43,3,1,0
2,2,1,0,499,1838,2,590.56,3,1,1
5,0,1,0,921,2003,1,29133.31,3,1,1
1,0,0,0,3806,1996,2,79468.74,3,1,1
0,3,1,0,342,1998,2,102786.22,3,1,0
2,1,1,0,2094,1996,1,40865.66,3,1,0
1,0,1,0,3348,1999,1,142140.43,3,1,0
1,0,1,0,4334,1997,2,156324.5,3,1,0
5,3,1,1,4329,1999,2,11492.12,3,1,0
3,3,1,0,4119,1946,2,6757.17,3,1,0
1,0,1,0,4634,1996,1,128598.74,3,1,0
1,2,0,0,796,2005,4,106047.09,3,1,1
2,0,1,0,1730,2010,4,83986.72,3,1,0
2,0,0,0,1420,2008,4,1259.39,3,1,0
3,0,0,0,1021,1881,3,79197.95,3,1,1
1,0,0,0,2076,2007,1,60318.46,3,1,0
1,2,0,0,710,1994,2,123928.02,3,1,1
